Tanggal;Tn;Tx;Tavg;RH_avg;RR;ss;ff_x;ddd_x;ff_avg;ddd_car
25-06-2022;19,2;28,4;23,4;79;3,9;7,2;4;190;1;C 
26-06-2022;19,8;27,8;22,4;92;0;6,3;3;170;1;C 
27-06-2022;20,8;25,6;22,8;85;23,4;2,8;6;180;2;SW
28-06-2022;20,2;27;23,2;76;0;1,8;4;210;3;S 
29-06-2022;18,8;28,6;23;63;0;6,7;3;250;1;W 
30-06-2022;20,1;28,2;24,4;71;0;9;4;190;2;S 
01-07-2022;19,4;28,2;23;80;0;9,9;5;70;2;S 
02-07-2022;19,6;28,3;23,8;78;0;6,8;3;170;1;C 
03-07-2022;20,8;29,2;25;77;17,4;3,8;6;30;3;NE
04-07-2022;20,4;29;24,3;77;0;8,2;7;60;3;NE
05-07-2022;20,2;29,8;25,2;76;0;9,6;4;190;1;C 
06-07-2022;20,6;27,2;24;79;;6,1;4;200;2;S 
07-07-2022;18,4;28,1;23,2;72;0;5,2;4;190;2;S 
08-07-2022;18,3;26,2;22,3;70;0;9,7;4;190;2;S 
09-07-2022;16,4;28;22,5;71;0;9;3;190;2;S 
10-07-2022;17,5;28,8;22,7;75;0;7,3;3;140;1;C 
11-07-2022;19,3;27,6;23,8;77;0;8,2;4;200;1;C 
12-07-2022;19,2;28,8;23,5;82;0;2,6;4;160;2;C 
13-07-2022;19,4;29,2;24,2;77;1,9;6,2;5;60;2;C 
14-07-2022;19,4;29;23,9;80;1;8,3;6;110;2;E 
15-07-2022;21,4;28;24;82;0;7,6;4;160;2;S 
16-07-2022;20,3;27,4;23,3;84;0;4,7;5;160;2;S 
17-07-2022;18,6;27,2;23,9;77;0;5,2;3;220;1;C 
18-07-2022;21,2;28,4;23,8;78;0;5,4;3;210;1;C 
19-07-2022;20,8;29,2;24,2;74;0;6,3;3;180;2;S 
20-07-2022;17;29,4;22,8;70;0;7;6;90;2;E 
21-07-2022;19,2;28;23,3;78;0;10;6;170;2;S 
22-07-2022;21,2;27,1;23,2;82;0;6,9;4;170;2;S 
23-07-2022;18,9;27,8;23;82;0;5,1;5;180;2;S 
24-07-2022;20;26,4;22,6;69;0;5,6;5;180;3;S 
25-07-2022;14,6;26,5;20,1;70;0;7,8;4;260;2;C 
26-07-2022;16;29,2;21,9;66;0;8,7;6;100;2;C 
27-07-2022;17,1;30,4;24;77;0;10,1;6;80;2;S 
28-07-2022;18,4;29,6;23,6;75;0;8,9;5;60;3;S 
29-07-2022;17,6;28,8;22,9;73;;9,7;5;80;2;E 
30-07-2022;17,9;28,8;22,5;69;0;7,4;5;70;2;SE
31-07-2022;17,7;28,8;22,8;67;0;9,3;4;90;2;NE
01-08-2022;17;28,8;23;65;0;8;7;50;2;C 
02-08-2022;18;28;24;84;0;8,6;3;90;1;C 
03-08-2022;19,5;30,2;24,3;76;0;0,3;5;80;2;E 
04-08-2022;19;27,9;23,4;68;0,8;8,7;7;160;3;S 
05-08-2022;18,2;29;23,3;60;0;8,8;3;200;2;C 
06-08-2022;18;28,6;23,9;62;0;9,6;3;180;2;SE
07-08-2022;20,1;24,5;22,5;90;1,5;9,8;4;180;2;S 
